drug_name,rx_normcui,class,drug_name_broad,term_type,name,drug
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG,999996,Thiazide,Amlodipine / Hydrochlorothiazide / olmesartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Table,848140,Angiotension receptor blocker,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Table,848140,Calcium channel blocker,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Table,848140,Thiazide,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Table,848144,Angiotension receptor blocker,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Table,848144,Calcium channel blocker,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Table,848144,Thiazide,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Or,1000001,Angiotension receptor blocker,Amlodipine / Hydrochlorothiazide / olmesartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Or,1000001,Calcium channel blocker,Amlodipine / Hydrochlorothiazide / olmesartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Or,1000001,Thiazide,Amlodipine / Hydrochlorothiazide / olmesartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Or,1000005,Angiotension receptor blocker,Amlodipine / Hydrochlorothiazide / olmesartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Or,1000005,Calcium channel blocker,Amlodipine / Hydrochlorothiazide / olmesartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Or,1000005,Thiazide,Amlodipine / Hydrochlorothiazide / olmesartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,848145,Angiotension receptor blocker,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,848145,Calcium channel blocker,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,848145,Thiazide,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,848149,Angiotension receptor blocker,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,848149,Calcium channel blocker,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,848149,Thiazide,Amlodipine / Hydrochlorothiazide / valsartan,,,
Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet,730869,Angiotension receptor blocker,Amlodipine / olmesartan,,,
Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet,730869,Calcium channel blocker,Amlodipine / olmesartan,,,
Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor 5/20],744632,Angiotension receptor blocker,Amlodipine / olmesartan,,,
Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor 5/20],744632,Calcium channel blocker,Amlodipine / olmesartan,,,
Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet,730872,Angiotension receptor blocker,Amlodipine / olmesartan,,,
Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet,730872,Calcium channel blocker,Amlodipine / olmesartan,,,
Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor 5/40],744636,Angiotension receptor blocker,Amlodipine / olmesartan,,,
Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor 5/40],744636,Calcium channel blocker,Amlodipine / olmesartan,,,
Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet,597977,Calcium channel blocker,Amlodipine / atorvastatin,,,
Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet [Caduet 5/10],750227,Calcium channel blocker,Amlodipine / atorvastatin,,,
Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet,597980,Calcium channel blocker,Amlodipine / atorvastatin,,,
Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet [Caduet 5/20],750231,Calcium channel blocker,Amlodipine / atorvastatin,,,
Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet,597984,Calcium channel blocker,Amlodipine / atorvastatin,,,
Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet [Caduet 5/40],750235,Calcium channel blocker,Amlodipine / atorvastatin,,,
Amlodipine 5 MG / atorvastatin 80 MG Oral Tablet,404011,Calcium channel blocker,Amlodipine / atorvastatin,,,
Amlodipine 5 MG / atorvastatin 80 MG Oral Tablet [Caduet 5/80],750239,Calcium channel blocker,Amlodipine / atorvastatin,,,
Amlodipine 5 MG / telmisartan 40 MG Oral Tablet,876524,Angiotension receptor blocker,Amlodipine / telmisartan,,,
Amlodipine 5 MG / telmisartan 40 MG Oral Tablet,876524,Calcium channel blocker,Amlodipine / telmisartan,,,
Amlodipine 5 MG / telmisartan 40 MG Oral Tablet [Twynsta 40/5],876528,Angiotension receptor blocker,Amlodipine / telmisartan,,,
Amlodipine 5 MG / telmisartan 40 MG Oral Tablet [Twynsta 40/5],876528,Calcium channel blocker,Amlodipine / telmisartan,,,
Amlodipine 5 MG / telmisartan 80 MG Oral Tablet,876529,Angiotension receptor blocker,Amlodipine / telmisartan,,,
Amlodipine 5 MG / telmisartan 80 MG Oral Tablet,876529,Calcium channel blocker,Amlodipine / telmisartan,,,
Amlodipine 5 MG / telmisartan 80 MG Oral Tablet [Twynsta 80/5],876533,Angiotension receptor blocker,Amlodipine / telmisartan,,,
Amlodipine 5 MG / telmisartan 80 MG Oral Tablet [Twynsta 80/5],876533,Calcium channel blocker,Amlodipine / telmisartan,,,
Amlodipine 5 MG / valsartan 160 MG Oral Tablet,722134,Angiotension receptor blocker,Amlodipine / valsartan,,,
Amlodipine 5 MG / valsartan 160 MG Oral Tablet,722134,Calcium channel blocker,Amlodipine / valsartan,,,
Amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge 5/160],724891,Angiotension receptor blocker,Amlodipine / valsartan,,,
Amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge 5/160],724891,Calcium channel blocker,Amlodipine / valsartan,,,
Amlodipine 5 MG / valsartan 320 MG Oral Tablet,722137,Angiotension receptor blocker,Amlodipine / valsartan,,,
Amlodipine 5 MG / valsartan 320 MG Oral Tablet,722137,Calcium channel blocker,Amlodipine / valsartan,,,
Amlodipine 5 MG / valsartan 320 MG Oral Tablet [Exforge 5/320],724895,Angiotension receptor blocker,Amlodipine / valsartan,,,
Amlodipine 5 MG / valsartan 320 MG Oral Tablet [Exforge 5/320],724895,Calcium channel blocker,Amlodipine / valsartan,,,
Amlodipine 5 MG Disintegrating Oral Tablet,757676,Calcium channel blocker,Amlodipine,,,
Amlodipine 5 MG Disintegrating Tablet,757676,Calcium channel blocker,Amlodipine,,,
Amlodipine 5 MG Extended Release Capsule,437440,Calcium channel blocker,Amlodipine,,,
Amlodipine 5 MG Extended Release Oral Capsule,437440,Calcium channel blocker,Amlodipine,,,
Amlodipine 5 MG Oral Capsule,410587,Calcium channel blocker,Amlodipine,,,
Amlodipine 5 MG Oral Tablet,197361,Calcium channel blocker,Amlodipine,,,
Amlodipine 5 MG Oral Tablet [Norvasc],212549,Calcium channel blocker,Amlodipine,,,
Amlodipine Disintegrating Tablet,757673,Calcium channel blocker,Amlodipine,,,
Amlodipine Extended Release Capsule,437441,Calcium channel blocker,Amlodipine,,,
Amlodipine Oral Capsule,437439,Calcium channel blocker,Amlodipine,,,
Amlodipine Oral Tablet,370573,Calcium channel blocker,Amlodipine,,,
Anacin Aspirin Regimen,724441,Aspirin,Aspirin,,,
Ascriptin Oral Product,1172135,Aspirin,Aspirin,,,
Ascriptin Pill,1172136,Aspirin,Aspirin,,,
Aspi-Cor,1600986,Aspirin,Aspirin,,,
Aspi-Cor Oral Product,1600989,Aspirin,Aspirin,,,
Aspi-Cor Pill,1600990,Aspirin,Aspirin,,,
Aspir-Low,215431,Aspirin,Aspirin,,,
Aspir-Low Oral Product,1293663,Aspirin,Aspirin,,,
Aspir-Low Pill,1293664,Aspirin,Aspirin,,,
Aspirin,1191,Aspirin,Aspirin,,,
Aspirin 1 MG/MG,900469,Aspirin,Aspirin,,,
Aspirin 1.5 MG/ML,685588,Aspirin,Aspirin,,,
Aspirin 100 MG,329292,Aspirin,Aspirin,,,
Aspirin 100 MG Oral Tablet,246461,Aspirin,Aspirin,,,
Aspirin 120 MG,317297,Aspirin,Aspirin,,,
Aspirin 120 MG Chewable Tablet,1433630,Aspirin,Aspirin,,,
Aspirin 150 MG,315413,Aspirin,Aspirin,,,
Aspirin 162 MG,317298,Aspirin,Aspirin,,,
Aspirin 162 MG Delayed Release Oral Tablet,198477,Aspirin,Aspirin,,,
Aspirin 162.5 MG,1665355,Aspirin,Aspirin,,,
Aspirin 162.5 MG [Durlaza],1665358,Aspirin,Aspirin,,,
Aspirin 165 MG,315414,Aspirin,Aspirin,,,
Aspirin 165 MG Delayed Release Oral Tablet,308403,Aspirin,Aspirin,,,
Aspirin 2.5 MG/ML,688213,Aspirin,Aspirin,,,
Aspirin 200 MG,317299,Aspirin,Aspirin,,,
Aspirin 210 MG,335993,Aspirin,Aspirin,,,
Aspirin 220 MG,1673786,Aspirin,Aspirin,,,
Aspirin 227 MG,336430,Aspirin,Aspirin,,,
Aspirin 228 MG,329547,Aspirin,Aspirin,,,
Aspirin 228 MG Chewing Gum,853499,Aspirin,Aspirin,,,
Aspirin 228 MG Chewing Gum [Aspergum],853501,Aspirin,Aspirin,,,
Aspirin 228 MG [Aspergum],853500,Aspirin,Aspirin,,,
Aspirin 230 MG,336028,Aspirin,Aspirin,,,
Aspirin 25 MG,329295,Aspirin,Aspirin,,,
Aspirin 250 MG,335953,Aspirin,Aspirin,,,
Aspirin 260 MG,315417,Aspirin,Aspirin,,,
Aspirin 262.5 MG,336033,Aspirin,Aspirin,,,
Aspirin 300 MG,315418,Aspirin,Aspirin,,,
Aspirin 300 MG Chewable Tablet,433353,Aspirin,Aspirin,,,
Aspirin 300 MG Delayed Release Oral Tablet,104899,Aspirin,Aspirin,,,
Aspirin 300 MG Oral Capsule,199274,Aspirin,Aspirin,,,
Aspirin 300 MG Oral Tablet,199281,Aspirin,Aspirin,,,
Aspirin 325 MG,317300,Aspirin,Aspirin,,,
Aspirin 325 MG / Citric Acid 1000 MG / Sodium Bicarbonate 1700 MG Effervescent Oral Tablet [Alka-Seltzer],1925790,Aspirin,Aspirin,,,
Aspirin 325 MG Delayed Release Oral Tablet,198467,Aspirin,Aspirin,,,
Aspirin 325 MG Delayed Release Oral Tablet [Bayer Aspirin],387090,Aspirin,Aspirin,,,
Aspirin 325 MG Delayed Release Oral Tablet [Ecotrin],212086,Aspirin,Aspirin,,,
Aspirin 325 MG Delayed Release Oral Tablet [Ecpirin],1001476,Aspirin,Aspirin,,,
Aspirin 325 MG Oral Capsule,198466,Aspirin,Aspirin,,,
Aspirin 325 MG Oral Powder,1050241,Aspirin,Aspirin,,,
Aspirin 325 MG Oral Tablet,212033,Aspirin,Aspirin,,,
Aspirin 325 MG Oral Tablet [Ascriptin],830530,Aspirin,Aspirin,,,
Aspirin 325 MG Oral Tablet [Bayer Aspirin],211874,Aspirin,Aspirin,,,
Aspirin 325 MG Oral Tablet [Bufferin],260847,Aspirin,Aspirin,,,
Aspirin 325 MG Oral Tablet [Norwich Aspirin],211881,Aspirin,Aspirin,,,
Aspirin 325 MG [Ascriptin],830529,Aspirin,Aspirin,,,
Aspirin 325 MG [Bayer Aspirin],572203,Aspirin,Aspirin,,,
Aspirin 325 MG [Bufferin],574308,Aspirin,Aspirin,,,
Aspirin 325 MG [Ecotrin],572393,Aspirin,Aspirin,,,
Aspirin 325 MG [Ecpirin],1001474,Aspirin,Aspirin,,,
Aspirin 60 MG,315425,Aspirin,Aspirin,,,
Aspirin 60 MG Chewable Tablet,333834,Aspirin,Aspirin,,,
Aspirin 75 MG,315429,Aspirin,Aspirin,,,
Aspirin 75 MG Chewable Tablet,308414,Aspirin,Aspirin,,,
Aspirin 75 MG Delayed Release Oral Tablet,103954,Aspirin,Aspirin,,,
Aspirin 75 MG Disintegrating Oral Tablet,104475,Aspirin,Aspirin,,,
Aspirin 75 MG Oral Tablet,104474,Aspirin,Aspirin,,,
Aspirin 81 MG,315431,Aspirin,Aspirin,,,
Aspirin 81 MG Chewable Tablet,318272,Aspirin,Aspirin,,,
Aspirin 81 MG Chewable Tablet [Bayer Aspirin],825180,Aspirin,Aspirin,,,
Aspirin 81 MG Chewable Tablet [St. Joseph Aspirin],211832,Aspirin,Aspirin,,,
Aspirin 81 MG Delayed Release Oral Tablet,308416,Aspirin,Aspirin,,,
Aspirin 81 MG Delayed Release Oral Tablet [Aspir-Low],1293665,Aspirin,Aspirin,,,
Aspirin 81 MG Delayed Release Oral Tablet [Bayer Aspirin],794229,Aspirin,Aspirin,,,
Aspirin 81 MG Delayed Release Oral Tablet [Bufferin],1592700,Aspirin,Aspirin,,,
Aspirin 81 MG Delayed Release Oral Tablet [Ecotrin],1189781,Aspirin,Aspirin,,,
Aspirin 81 MG Delayed Release Oral Tablet [Miniprin],1052678,Aspirin,Aspirin,,,
Aspirin 81 MG Delayed Release Oral Tablet [St. Joseph Aspirin],749795,Aspirin,Aspirin,,,
Aspirin 81 MG Disintegrating Oral Tablet,747211,Aspirin,Aspirin,,,
Aspirin 81 MG Disintegrating Oral Tablet [Fasprin],747236,Aspirin,Aspirin,,,
Aspirin 81 MG Oral Strip,1535484,Aspirin,Aspirin,,,
Aspirin 81 MG Oral Tablet,243670,Aspirin,Aspirin,,,
Aspirin 81 MG Oral Tablet [Anacin Aspirin Regimen],724444,Aspirin,Aspirin,,,
Aspirin 81 MG Oral Tablet [Bayer Aspirin],825181,Aspirin,Aspirin,,,
Aspirin 81 MG Oral Tablet [Bufferin],979118,Aspirin,Aspirin,,,
Aspirin 81 MG [Anacin Aspirin Regimen],724442,Aspirin,Aspirin,,,
Aspirin 81 MG [Aspi-Cor],1600987,Aspirin,Aspirin,,,
Aspirin 81 MG [Aspir-Low],1293661,Aspirin,Aspirin,,,
Aspirin 81 MG [Bayer Aspirin],794228,Aspirin,Aspirin,,,
Aspirin 81 MG [Bufferin],979117,Aspirin,Aspirin,,,
Aspirin 81 MG [Ecotrin],1189780,Aspirin,Aspirin,,,
Aspirin 81 MG [Fasprin],747234,Aspirin,Aspirin,,,
Aspirin 81 MG [Miniprin],847089,Aspirin,Aspirin,,,
Aspirin 81 MG [St. Joseph Aspirin],572163,Aspirin,Aspirin,,,
Aspirin Chewable Product,1294937,Aspirin,Aspirin,,,
Aspirin Chewable Tablet,370614,Aspirin,Aspirin,,,
Aspirin Chewable Tablet [Bayer Aspirin],825179,Aspirin,Aspirin,,,
Aspirin Chewable Tablet [St. Joseph Aspirin],369693,Aspirin,Aspirin,,,
Aspirin Chewing Gum,370942,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet,370939,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [Aspi-Cor],1600988,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [Aspir-Low],1293662,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [Bayer Aspirin],393300,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [Bufferin],1592699,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [Ecotrin],369814,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [Ecpirin],1001475,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [Halfprin],369817,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [Miniprin],1052677,Aspirin,Aspirin,,,
Aspirin Delayed Release Oral Tablet [St. Joseph Aspirin],749794,Aspirin,Aspirin,,,
Aspirin Disintegrating Oral Product,1295715,Aspirin,Aspirin,,,
Aspirin Disintegrating Oral Tablet,379422,Aspirin,Aspirin,,,
Aspirin Disintegrating Oral Tablet [Fasprin],747235,Aspirin,Aspirin,,,
Aspirin Extended Release Oral Capsule,376394,Aspirin,Aspirin,,,
Aspirin Extended Release Oral Capsule [Durlaza],1665359,Aspirin,Aspirin,,,
Aspirin Extended Release Oral Tablet,370612,Aspirin,Aspirin,,,
Aspirin Oral Capsule,370940,Aspirin,Aspirin,,,
Aspirin Oral Powder Product,1295740,Aspirin,Aspirin,,,
Aspirin Oral Powder [Bayer Aspirin],1052981,Aspirin,Aspirin,,,
Aspirin Oral Product,1154069,Aspirin,Aspirin,,,
Aspirin Oral Solution,375972,Aspirin,Aspirin,,,
Aspirin Oral Tablet,370611,Aspirin,Aspirin,,,
Aspirin Oral Tablet [Anacin Aspirin Regimen],724443,Aspirin,Aspirin,,,
Aspirin Oral Tablet [Ascriptin],830524,Aspirin,Aspirin,,,
Aspirin Oral Tablet [Bayer Aspirin],368457,Aspirin,Aspirin,,,
Aspirin Oral Tablet [Bufferin],368653,Aspirin,Aspirin,,,
Aspirin Oral Tablet [Migralex],1039498,Aspirin,Aspirin,,,
Aspirin Oral Tablet [Norwich Aspirin],368468,Aspirin,Aspirin,,,
Aspirin Pill,1154070,Aspirin,Aspirin,,,
Atenolol,1202,Beta_blocker,Atenolol,,,
Atenolol / Bendroflumethiazide Oral Capsule,385565,Beta_blocker,Atenolol / Bendroflumethiazide,,,
Atenolol / Bendroflumethiazide Oral Capsule,385565,Thiazide,Atenolol / Bendroflumethiazide,,,
Atenolol / Chlorthalidone / Hydralazine Oral Tablet,440424,Beta_blocker,Atenolol / Chlorthalidone / Hydralazine,,,
Atenolol / Chlorthalidone / Hydralazine Oral Tablet,440424,Thiazide,Atenolol / Chlorthalidone / Hydralazine,,,
Atenolol / Chlorthalidone Oral Capsule,370958,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol / Chlorthalidone Oral Capsule,370958,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol / Chlorthalidone Oral Tablet,370620,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol / Chlorthalidone Oral Tablet,370620,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol / Nifedipine Extended Release Capsule,393276,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol / Nifedipine Extended Release Capsule,393276,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol / Nifedipine Oral Capsule,370961,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol / Nifedipine Oral Capsule,370961,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol / Nifedipine Oral Tablet,376172,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol / Nifedipine Oral Tablet,376172,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol 0.5 MG/ML Injectable Solution,104308,Beta_blocker,Atenolol,,,
Atenolol 0.5 MG/ML Injectable Solution [Tenormin],201327,Beta_blocker,Atenolol,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet,197382,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet,197382,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [AtenixCo],201342,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [AtenixCo],201342,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [Tenchlor],104344,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [Tenchlor],104344,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [Tenoretic 100],746023,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [Tenoretic 100],746023,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [Totaretic],108744,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet [Totaretic],108744,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 100 MG Oral Capsule,249385,Beta_blocker,Atenolol,,,
Atenolol 100 MG Oral Tablet,197379,Beta_blocker,Atenolol,,,
Atenolol 100 MG Oral Tablet [Antipressan],201323,Beta_blocker,Atenolol,,,
Atenolol 100 MG Oral Tablet [Atenix],201325,Beta_blocker,Atenolol,,,
Atenolol 100 MG Oral Tablet [Tenormin],201322,Beta_blocker,Atenolol,,,
Atenolol 100 MG Oral Tablet [Totamol],104305,Beta_blocker,Atenolol,,,
Atenolol 100 MG Oral Tablet [Vasaten],201324,Beta_blocker,Atenolol,,,
Atenolol 25 MG / Bendroflumethiazide 1.25 MG Oral Capsule,153155,Beta_blocker,Atenolol / Bendroflumethiazide,,,
Atenolol 25 MG / Bendroflumethiazide 1.25 MG Oral Capsule,153155,Thiazide,Atenolol / Bendroflumethiazide,,,
Atenolol 25 MG / Chlorthalidone 12.5 MG / Hydralazine 25 MG Oral Tablet,432658,Beta_blocker,Atenolol / Chlorthalidone / Hydralazine,,,
Atenolol 25 MG / Chlorthalidone 12.5 MG / Hydralazine 25 MG Oral Tablet,432658,Thiazide,Atenolol / Chlorthalidone / Hydralazine,,,
Atenolol 25 MG / Nifedipine 10 MG Extended Release Capsule,411852,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol 25 MG / Nifedipine 10 MG Extended Release Capsule,411852,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol 25 MG / Nifedipine 10 MG Extended Release Oral Capsule,411852,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol 25 MG / Nifedipine 10 MG Extended Release Oral Capsule,411852,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol 25 MG / Nifedipine 10 MG Oral Tablet,252201,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol 25 MG / Nifedipine 10 MG Oral Tablet,252201,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol 25 MG Oral Tablet,197380,Beta_blocker,Atenolol,,,
Atenolol 25 MG Oral Tablet [Antipressan],201218,Beta_blocker,Atenolol,,,
Atenolol 25 MG Oral Tablet [Atenix],151120,Beta_blocker,Atenolol,,,
Atenolol 25 MG Oral Tablet [Tenormin],150750,Beta_blocker,Atenolol,,,
Atenolol 25 MG Oral Tablet [Totamol],104306,Beta_blocker,Atenolol,,,
Atenolol 5 MG/ML Oral Solution,755528,Beta_blocker,Atenolol,,,
Atenolol 5 MG/ML Oral Solution [Tenormin],754914,Beta_blocker,Atenolol,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Capsule,249567,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Capsule,249567,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet,152916,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet,152916,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet [AtenixCo],201341,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet [AtenixCo],201341,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet [Tenchlor],104343,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet [Tenchlor],104343,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet [Tenoret],104337,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet [Tenoret],104337,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet [Totaretic],108743,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 12.5 MG Oral Tablet [Totaretic],108743,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 25 MG / Hydralazine 50 MG Oral Tablet,432657,Beta_blocker,Atenolol / Chlorthalidone / Hydralazine,,,
Atenolol 50 MG / Chlorthalidone 25 MG / Hydralazine 50 MG Oral Tablet,432657,Thiazide,Atenolol / Chlorthalidone / Hydralazine,,,
Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet,197383,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet,197383,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet [Tenoretic 50],746030,Beta_blocker,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet [Tenoretic 50],746030,Thiazide,Atenolol / Chlorthalidone,,,
Atenolol 50 MG / Nifedipine 20 MG Extended Release Capsule,393275,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol 50 MG / Nifedipine 20 MG Extended Release Capsule,393275,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol 50 MG / Nifedipine 20 MG Extended Release Oral Capsule,393275,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol 50 MG / Nifedipine 20 MG Extended Release Oral Capsule,393275,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol 50 MG / Nifedipine 20 MG Oral Capsule,251254,Beta_blocker,Atenolol / Nifedipine,,,
Atenolol 50 MG / Nifedipine 20 MG Oral Capsule,251254,Calcium channel blocker,Atenolol / Nifedipine,,,
Atenolol 50 MG Oral Capsule,249384,Beta_blocker,Atenolol,,,
Atenolol 50 MG Oral Tablet,197381,Beta_blocker,Atenolol,,,
Atenolol 50 MG Oral Tablet [Antipressan],201328,Beta_blocker,Atenolol,,,
Atenolol 50 MG Oral Tablet [Atenix],201330,Beta_blocker,Atenolol,,,
Atenolol 50 MG Oral Tablet [Senormin],211773,Beta_blocker,Atenolol,,,
Atenolol 50 MG Oral Tablet [Tenormin],152414,Beta_blocker,Atenolol,,,
Atenolol 50 MG Oral Tablet [Totamol],104304,Beta_blocker,Atenolol,,,
Atenolol 50 MG Oral Tablet [Vasaten],201329,Beta_blocker,Atenolol,,,
Atenolol Injectable Solution,370960,Beta_blocker,Atenolol,,,
Atenolol Oral Capsule,370959,Beta_blocker,Atenolol,,,
Atenolol Oral Solution,756436,Beta_blocker,Atenolol,,,
Atenolol Oral Tablet,370619,Beta_blocker,Atenolol,,,
BC Original Formula,1247398,Aspirin,Aspirin,,,
BC Original Formula Oral Product,1247401,Aspirin,Aspirin,,,
Bayer Aspirin,215568,Aspirin,Aspirin,,,
